"created","tp","pre","hum","amb"
2018-04-20 07:23:17,25.39,0,50.76,30.53
2018-04-20 07:23:29,25.36,0,50.77,30.52
2018-04-20 07:23:40,25.39,0,50.8,30.52
2018-04-20 07:23:51,25.36,0,50.81,30.53
2018-04-20 07:24:02,25.42,0,50.8,30.52
2018-04-20 07:24:13,25.36,0,50.82,30.52
2018-04-20 07:24:24,25.36,0,50.85,30.52
2018-04-20 07:24:36,25.39,0,50.86,30.52
2018-04-20 07:24:47,25.42,0,50.87,30.51
2018-04-20 07:24:59,25.36,0,50.89,30.51
2018-04-20 07:25:10,0,0,50.9,30.5
2018-04-20 07:25:11,25.42,0,0,0
2018-04-20 07:25:22,25.42,0,50.91,30.5
2018-04-20 07:25:33,25.36,0,50.93,30.5
2018-04-20 07:25:44,0,0,50.94,30.49
2018-04-20 07:25:45,25.39,0,0,0
2018-04-20 07:25:56,25.32,0,50.96,30.49
2018-04-20 07:26:07,25.36,0,50.97,30.48
2018-04-20 07:26:18,25.32,0,50.97,30.48
2018-04-20 07:26:29,0,0,50.99,30.48
2018-04-20 07:26:30,25.36,0,0,0
2018-04-20 07:26:41,25.29,0,50.99,30.47
2018-04-20 07:26:52,25.26,0,51.01,30.47
2018-04-20 07:27:03,25.32,0,51.03,30.46
2018-04-20 07:27:14,0,0,51.03,0
2018-04-20 07:27:15,25.26,0,0,30.46
2018-04-20 07:27:26,25.32,0,51.05,30.45
2018-04-20 07:27:37,25.26,0,51.07,30.45
2018-04-20 07:27:48,0,0,51.08,0
2018-04-20 07:27:49,25.26,0,0,30.44
2018-04-20 07:28:00,25.32,0,51.12,30.44
2018-04-20 07:28:11,0,0,51.12,0
2018-04-20 07:28:12,25.22,0,0,30.44
2018-04-20 07:28:23,25.29,0,51.15,30.43
2018-04-20 07:28:34,25.26,0,51.15,30.42
2018-04-20 07:28:46,25.26,0,51.17,30.42
2018-04-20 07:28:57,25.26,0,51.2,30.41
2018-04-20 07:29:09,25.22,0,51.21,30.41
2018-04-20 07:29:20,25.22,0,51.25,30.4
2018-04-20 07:29:32,25.22,0,51.26,30.39
2018-04-20 07:29:43,25.12,0,51.26,30.4
2018-04-20 07:29:55,25.19,0,51.29,30.39
2018-04-20 07:30:06,0,0,51.33,0
2018-04-20 07:30:07,25.22,0,0,30.38
2018-04-20 07:30:18,25.26,0,51.35,30.38
2018-04-20 07:30:29,25.19,0,51.35,30.38
2018-04-20 07:30:41,25.19,0,51.36,30.37
2018-04-20 07:30:52,25.15,0,51.37,30.37
2018-04-20 07:31:04,25.15,0,51.41,30.37
2018-04-20 07:31:15,25.15,0,51.4,30.36
2018-04-20 07:31:26,25.15,0,51.42,30.36
2018-04-20 07:31:38,25.15,0,51.45,30.36
2018-04-20 07:31:49,25.15,0,51.46,30.34
